,ApprovalFY,RetainedJob,UrbanRural,GrAppv,SBA_Appv,Approval_Year,Disbursement_Year,BankState_code,RevLineCr_code,LowDoc_code
0,2006,2,1,0.040430368237611765,0.024230315139406048,6,6,35,2,1
1,2005,0,1,0.015002273071677528,0.00899100899100899,4,4,46,2,1
2,1998,0,0,0.02584482497348083,0.024836981200617562,98,98,50,2,2
3,1998,0,0,0.013486891953326263,0.012987012987012986,98,98,42,2,1
4,1997,0,0,0.06804061221397181,0.0612115157569703,97,97,23,2,1
5,2005,10,1,0.010456129716623732,0.006266460811915357,5,5,35,4,1
6,2006,11,1,0.03015608425519018,0.018072836254654435,5,5,14,2,1
7,2005,25,1,0.013941506288831642,0.008355281082553808,5,5,14,2,1
8,1998,0,0,0.09834823458099712,0.08845699754790665,98,98,51,2,1
9,2004,0,1,0.022579178663433855,0.013531922622831713,3,4,8,4,1
10,1997,0,0,0.06046370662221549,0.05440014530923622,97,97,7,4,1
11,1997,0,0,0.022579178663433855,0.021705567160112613,97,97,23,0,1
12,1998,0,0,0.03864221851795727,0.03478339841976205,98,98,4,2,1
13,2007,10,1,0.03015608425519018,0.018072836254654435,6,6,14,4,1
14,2006,0,1,0.08349749962115473,0.10017255471800926,6,6,4,0,1
15,2006,7,1,0.015002273071677528,0.00899100899100899,5,5,46,2,1
16,2006,50,1,0.001363843006516139,0.001453092362183271,6,6,4,0,1
17,1997,0,0,0.03015608425519018,0.018072836254654435,97,98,5,4,1
18,1998,0,0,0.01879072586755569,0.018072836254654435,98,98,24,2,2
19,1997,0,1,0.02712532201848765,0.026064844246662427,97,97,26,2,2
20,1998,0,0,0.14532504924988635,0.13068749432385796,98,98,42,0,1
21,2006,2,1,0.0028792241248674043,0.0017255471800926344,5,5,27,4,1
22,1997,0,0,0.08884103652068495,0.07991027154663519,97,97,44,2,1
23,2005,1,1,0.008940748598272466,0.005358278085550812,5,5,27,2,1
24,1997,0,0,0.03269434762842856,0.02943638180001816,97,97,4,0,1
25,2006,4,2,0.022579178663433855,0.02306784124965943,5,6,14,2,1
26,2005,2,1,0.015002273071677528,0.00899100899100899,5,5,4,4,1
27,2005,6,1,0.03015608425519018,0.018072836254654435,5,6,40,4,1
28,2005,10,1,0.0074253674799212,0.004450095359186268,5,5,14,4,1
29,2006,1,1,0.0074253674799212,0.004450095359186268,6,6,46,4,1
30,2005,7,1,0.013486891953326263,0.008082826264644447,5,5,27,4,1
31,2005,10,1,0.0028792241248674043,0.0017255471800926344,5,5,27,4,1
32,2006,2,1,0.005909986361569935,0.0035419126328217233,6,6,27,2,1
33,2006,12,2,0.022579178663433855,0.013531922622831713,6,6,23,4,1
34,1997,0,0,0.051371419912107905,0.046226500771955316,97,97,29,0,1
35,2005,1,1,0.005909986361569935,0.0035419126328217233,5,8,40,2,1
36,1997,0,0,0.0437035914532505,0.03933339387884842,97,98,4,0,1
37,1997,0,0,0.013073799060463707,0.012591045318318044,97,97,1,2,2
38,1998,0,0,0.2044249128655857,0.1838161838161838,97,97,4,0,1
39,1997,0,0,0.11228974086982876,0.13468349831986193,97,98,12,2,1
40,2005,2,1,0.0028792241248674043,0.0017255471800926344,5,5,27,2,1
41,1997,0,0,0.10774359751477497,0.12923440196167468,97,99,4,2,1
42,1998,0,0,0.06804061221397181,0.0612115157569703,98,98,21,2,1
43,1998,0,0,0.033792998939233224,0.03042412133321224,98,98,4,0,1
44,2006,0,1,0.4987119260494015,0.5978566887657796,6,6,19,0,1
45,2005,3,1,0.015002273071677528,0.00899100899100899,4,4,46,2,1
46,2005,2,1,0.0028792241248674043,0.0017255471800926344,5,8,27,4,1
47,2006,45,1,0.06046370662221549,0.036236490781945324,6,6,4,4,1
48,2006,1,1,0.0028792241248674043,0.0017255471800926344,6,6,35,4,1
49,1997,0,0,0.02409455978178512,0.023158659522295885,97,97,28,2,1
50,2006,0,1,0.06379754508258827,0.05739714830623921,6,6,4,2,1
51,2004,0,1,0.0028792241248674043,0.0017255471800926344,4,4,27,4,1
52,2005,0,1,0.015002273071677528,0.00899100899100899,4,5,46,2,1
53,1998,0,0,0.03015608425519018,0.018072836254654435,98,99,44,4,1
54,2006,8,1,0.005909986361569935,0.0035419126328217233,6,6,35,4,1
55,2006,2,1,0.004394605243218669,0.002633729906457179,6,6,14,2,1
56,2007,2,1,0.02712532201848765,0.016256470801925348,6,6,14,4,1
57,1997,0,0,0.045006819215032585,0.04050494959585869,97,98,14,2,1
58,1998,0,0,0.25746325200788,0.2314957769503224,98,98,38,0,1
59,2006,5,1,0.0028792241248674043,0.0017255471800926344,6,6,35,4,1
60,2006,2,1,0.015002273071677528,0.00899100899100899,6,6,46,2,1
61,1997,0,0,0.006122139718139112,0.005924984106802288,97,97,51,2,2
62,2005,4,1,0.001363843006516139,0.00081736445372809,5,6,40,4,1
63,1997,0,0,0.018033035308380057,0.0173462900735628,97,97,49,2,2
64,2006,2,1,0.0028792241248674043,0.0017255471800926344,5,6,27,2,1
65,2006,0,1,0.4702530686467647,0.4227863046044864,6,6,35,2,1
66,1998,0,0,0.016820730413699046,0.01618381618381618,98,98,42,2,2
67,2005,7,1,0.011971510834974998,0.007174643538279901,5,6,46,2,1
68,2006,13,1,0.03015608425519018,0.018072836254654435,6,6,35,4,1
69,2004,0,1,0.022579178663433855,0.013531922622831713,4,4,46,2,1
70,1997,0,0,0.12532201848764965,0.1503042412133321,97,99,17,2,1
71,2006,2,1,0.0021215335656917713,0.0012714558169103622,5,5,40,2,1
72,1998,0,0,0.010456129716623732,0.010080828262646445,98,98,4,0,1
73,1997,0,0,0.022579178663433855,0.013531922622831713,97,98,14,4,1
74,2005,6,1,0.0074253674799212,0.004450095359186268,5,5,4,4,1
75,2005,4,1,0.0028792241248674043,0.0017255471800926344,5,5,27,4,1
76,1984,0,0,0.1016820730413699,0.12196894015075833,83,84,35,2,1
77,1997,0,0,0.11283527807243522,0.10148033784397421,97,98,42,0,1
78,2006,6,1,0.015002273071677528,0.00899100899100899,6,6,46,2,1
79,2006,6,2,0.06046370662221549,0.036236490781945324,6,6,4,4,1
80,2006,3,1,0.005909986361569935,0.0035419126328217233,6,6,27,3,1
81,2005,35,1,0.015002273071677528,0.00899100899100899,5,5,27,4,1
82,2006,1,2,0.03015608425519018,0.018072836254654435,6,6,40,2,1
83,1997,0,0,0.03015608425519018,0.02897102897102897,97,97,23,0,1
84,2006,1,2,0.014396120624337023,0.008627735900463172,5,5,27,2,1
85,2006,40,1,0.03015608425519018,0.018072836254654435,6,6,45,4,1
86,2006,3,1,0.0074253674799212,0.007628734901462174,6,6,37,2,1
87,1997,0,0,0.12259433247461737,0.1102533829806557,97,97,19,0,1
88,1997,0,0,0.0965297772389756,0.08682226864045046,97,98,4,2,1
89,1998,0,0,0.03303530838005759,0.029742984288438832,98,98,4,0,1
90,2006,10,2,0.0074253674799212,0.004450095359186268,6,6,14,4,1
91,1997,0,0,0.04530989543870284,0.04077740441376805,97,98,42,0,1
92,2006,5,1,0.0028792241248674043,0.0017255471800926344,6,6,27,4,1
93,2004,0,1,0.015002273071677528,0.00899100899100899,4,4,45,3,1
94,2006,0,1,0.0028792241248674043,0.0029970029970029966,5,5,14,4,1
95,2005,2,1,0.00045461433550537966,0.0002724548179093634,5,5,40,4,1
96,2005,10,1,0.02409455978178512,0.024611751884479154,5,5,20,2,1
97,2006,1,2,0.0019699954538566454,0.0011806375442739079,6,6,4,0,1
98,1998,0,0,0.03015608425519018,0.02897102897102897,98,98,34,0,1
99,1998,6,0,0.12471586604030914,0.14957769503224047,98,98,38,2,1
100,2006,23,1,0.20221245643279287,0.18182726364544544,6,6,42,0,1
101,2005,12,1,0.015002273071677528,0.00899100899100899,5,5,14,4,1
102,2005,0,1,0.035490225791786637,0.036221959858323494,4,4,14,2,1
103,2005,2,1,0.0028792241248674043,0.0017255471800926344,5,5,27,4,1
104,2005,0,1,0.015002273071677528,0.00899100899100899,5,7,35,4,1
105,2006,1,2,0.015002273071677528,0.00899100899100899,6,6,14,4,1
106,2005,2,1,0.015002273071677528,0.00899100899100899,5,5,40,2,1
